date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:43	743/743	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:16%20GMT	http://www.meridalegal.com/img/rs-img/navigdots.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/navigdots.png	(from http://www.meridalegal.com/css/settings.css)
18:29:43	42464/42464	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:47:20%20GMT	http://www.meridalegal.com/img/rs-img/images/gradient/g40.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/images/gradient/g40.png	(from http://www.meridalegal.com/css/settings.css)
18:29:43	1517/1517	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:12%20GMT	http://www.meridalegal.com/img/rs-img/large_left.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/large_left.png	(from http://www.meridalegal.com/css/settings.css)
18:29:43	1561/1561	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:14%20GMT	http://www.meridalegal.com/img/rs-img/large_right.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/large_right.png	(from http://www.meridalegal.com/css/settings.css)
18:29:43	670/670	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:24%20GMT	http://www.meridalegal.com/img/rs-img/small_left.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/small_left.png	(from http://www.meridalegal.com/css/settings.css)
18:29:43	138204/138204	---M--	200	added ('OK')	font/ttf	date:Thu,%2003%20Sep%202015%2011:56:58%20GMT	http://www.meridalegal.com/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/fontawesome-webfont93e3.ttf	(from http://www.meridalegal.com/css/font-awesome.min.css)
18:29:43	668/668	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:28%20GMT	http://www.meridalegal.com/img/rs-img/small_right.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/small_right.png	(from http://www.meridalegal.com/css/settings.css)
18:29:44	807/807	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:54%20GMT	http://www.meridalegal.com/img/rs-img/arrow_left.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrow_left.png	(from http://www.meridalegal.com/css/settings.css)
18:29:44	820/820	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:56%20GMT	http://www.meridalegal.com/img/rs-img/arrow_right.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrow_right.png	(from http://www.meridalegal.com/css/settings.css)
18:29:44	846/846	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:28%20GMT	http://www.meridalegal.com/img/rs-img/small_left_boxed.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/small_left_boxed.png	(from http://www.meridalegal.com/css/settings.css)
18:29:44	807/807	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:30%20GMT	http://www.meridalegal.com/img/rs-img/small_right_boxed.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/small_right_boxed.png	(from http://www.meridalegal.com/css/settings.css)
18:29:45	348/348	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:54%20GMT	http://www.meridalegal.com/img/rs-img/arrow_left2.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrow_left2.png	(from http://www.meridalegal.com/css/settings.css)
18:29:46	343/343	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:56%20GMT	http://www.meridalegal.com/img/rs-img/arrow_right2.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrow_right2.png	(from http://www.meridalegal.com/css/settings.css)
18:29:46	125/125	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:30%20GMT	http://www.meridalegal.com/img/rs-img/timer.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/timer.png	(from http://www.meridalegal.com/css/settings.css)
18:29:46	184/184	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:45:06%20GMT	http://www.meridalegal.com/img/rs-img/coloredbg.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/coloredbg.png	(from http://www.meridalegal.com/css/settings.css)
18:29:46	43543/43543	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:46%20GMT	http://www.meridalegal.com/img/rs-img/arrowleft.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrowleft.png	(from http://www.meridalegal.com/css/settings.css)
18:29:47	2545/2545	---M--	200	added ('OK')	image/gif	date:Wed,%2029%20Jul%202015%2013:45:14%20GMT	http://www.meridalegal.com/img/rs-img/loader.gif	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/loader.gif	(from http://www.meridalegal.com/css/settings.css)
18:29:48	7536/7536	---M--	200	added ('OK')	font/woff	date:Wed,%2029%20Jul%202015%2013:40:50%20GMT	http://www.meridalegal.com/fonts/revicons.woff?5510888	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/revicons90c6.woff	(from http://www.meridalegal.com/css/settings.css)
18:29:49	13532/13532	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2029%20Jul%202015%2013:40:48%20GMT	http://www.meridalegal.com/fonts/revicons.svg?5510888	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/revicons90c6.svg	(from http://www.meridalegal.com/css/settings.css)
18:29:49	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2029%20Jul%202015%2013:40:46%20GMT	http://www.meridalegal.com/fonts/revicons.eot?5510888	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/revicons90c6.eot	(from http://www.meridalegal.com/css/settings.css)
18:29:49	11968/11968	---M--	200	added ('OK')	font/ttf	date:Wed,%2029%20Jul%202015%2013:40:48%20GMT	http://www.meridalegal.com/fonts/revicons.ttf?5510888	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/revicons90c6.ttf	(from http://www.meridalegal.com/css/settings.css)
18:29:50	4052/4052	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2023%20Dec%202015%2022:52:14%20GMT	http://www.meridalegal.com/fonts/flaticon.eot	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/flaticon.eot	(from http://www.meridalegal.com/css/flaticon.css)
18:29:50	2804/2804	---M--	200	added ('OK')	font/woff	date:Wed,%2023%20Dec%202015%2022:52:14%20GMT	http://www.meridalegal.com/fonts/flaticon.woff	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/flaticon.woff	(from http://www.meridalegal.com/css/flaticon.css)
18:29:50	3884/3884	---M--	200	added ('OK')	font/ttf	date:Wed,%2023%20Dec%202015%2022:52:14%20GMT	http://www.meridalegal.com/fonts/flaticon.ttf	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/flaticon.ttf	(from http://www.meridalegal.com/css/flaticon.css)
18:29:51	36094/36094	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2023%20Dec%202015%2022:52:14%20GMT	http://www.meridalegal.com/fonts/flaticon.svg	C:/My%20Web%20Sites/pagina/www.meridalegal.com/fonts/flaticon.svg	(from http://www.meridalegal.com/css/flaticon.css)
18:29:52	43719/43719	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jul%202015%2013:44:48%20GMT	http://www.meridalegal.com/img/rs-img/arrowright.png	C:/My%20Web%20Sites/pagina/www.meridalegal.com/img/rs-img/arrowright.png	(from http://www.meridalegal.com/css/settings.css)
